date,open,close,high,low,volume,code
2017-06-23,8.05,7.79,8.26,7.59,357781.0,600730
2017-06-30,7.74,8.19,8.5,7.74,334910.0,600730
2017-07-07,8.12,8.25,8.32,8.08,285333.0,600730
2017-07-14,8.25,8.01,8.26,7.93,240570.0,600730
2017-07-21,7.98,7.68,8.04,7.25,306156.0,600730
2017-07-28,7.63,7.96,8.08,7.51,327913.0,600730
2017-08-04,7.91,7.99,8.13,7.8,347016.0,600730
2017-08-11,8.08,7.83,8.26,7.78,340003.0,600730
2017-08-18,7.82,8.37,8.47,7.8,415732.0,600730
2017-08-25,8.38,8.16,8.4,8.05,296760.0,600730
2017-09-01,8.2,8.49,8.88,8.1,701598.0,600730
2017-09-08,8.5,8.39,8.59,8.3,407365.0,600730
2017-09-15,8.4,8.42,8.62,8.37,308630.0,600730
2017-09-22,8.36,8.21,8.46,8.2,324546.0,600730
2017-09-29,8.24,8.06,8.26,7.91,191337.0,600730
2017-10-13,8.12,8.29,8.42,8.09,247044.0,600730
2017-10-20,8.25,7.94,8.25,7.77,253548.0,600730
2017-10-27,7.97,7.77,8.04,7.76,176354.0,600730
2017-11-03,7.74,7.21,7.8,7.17,245890.0,600730
2017-11-10,7.22,7.34,7.4,7.11,223565.0,600730
2017-11-17,7.3,6.88,7.47,6.87,237756.0,600730
